Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Cores (product.metafields.custom.cores),Cor deste Produto (product.metafields.custom.cor_deste_produto),Cor (product.metafields.shopify.color-pattern),Tecido (product.metafields.shopify.fabric),Tamanho (product.metafields.shopify.size),Produtos complementares (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configurações de produtos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Price / Brazil,Compare At Price / Brazil,Included / International,Price / International,Compare At Price / International,Status
camiseta-premium-bn-street-basic-branco-b90622,,,,,,,,,GG,,,,,,,,VJ-CAM-GG-B90622,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/E.BARRA_ZOOM_d5b0d128-76ac-491d-b6ba-ac8181fd4ef1.png?v=1718466933,4,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-bn-street-basic-branco-b90622,,,,,,,,,G2,,,,,,,,VJ-CAM-G2-B90622,330.0,shopify,200,deny,manual,99.90,139.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-bn-street-basic-branco-b90622,,,,,,,,,G3,,,,,,,,VJ-CAM-G3-B90622,330.0,shopify,200,deny,manual,129.90,159.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-bn-street-basic-branco-b90622,,,,,,,,,G4,,,,,,,,VJ-CAM-G4-B90622,330.0,shopify,200,deny,manual,149.90,189.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-boston-basic-branco-b90619,CAMISETA PREMIUM BOSTON BASIC - BRANCO B90619,"<p data-mce-fragment=""1""><span><i class=""fas fa-check-circle"" style=""color: #00bd22;""></i>  Se você busca se destacar com atitude e conforto, a camiseta <strong>Black Nine Streetwear</strong> é o item que não pode faltar no seu guarda-roupa. Feita com uma malha encorpada, resistente e durável, essa camiseta mantém seu estilo impecável mesmo com o uso frequente e as lavagens.</span><br><br><span><i class=""fas fa-tshirt"" style=""color: #00bd22;""></i>  Com sua malha <strong>100% algodão exclusiva</strong>, <strong>macia e confortável</strong>, a camiseta B9 apresenta um corte largo que proporciona liberdade de movimento, perfeito para quem valoriza roupas descontraídas.</span><br><br><span><i class=""fas fa-star"" style=""color: #00bd22;""></i>  O tecido premium e o acabamento <strong>anti-pilling</strong> asseguram que a camiseta permaneça impecável, sem bolinhas ou manchas, mesmo após várias lavagens.</span><br><br><span><i class=""fa-solid fa-road fa-fw"" style=""color: #00bd22;""></i> Inspirada pelas tendências <strong>streetwear mais autênticas</strong>, essa camiseta combina elementos do <strong>hip-hop, skate ,rap, Anime, Basquete e muito mais!</strong> tendo no seu DNA a rua, trazendo originalidade e personalidade ao seu visual. Reconhecida pela qualidade e criatividade das estampas, a <strong>Black Nine</strong> oferece opções únicas para quem busca expressar sua individualidade através da moda urbana.</span><br><br><span><i class=""fas fa-people-arrows"" style=""color: #00bd22;""></i>  Nossas camisetas vão além do convencional; elas representam a fusão entre moda e cultura de rua, refletindo a estética urbana e o estilo autêntico das ruas. Com a <strong>Black Nine Streetwear</strong>, você pode criar looks cheios de atitude e personalidade, mostrando ao mundo o seu <strong>amor pela moda urbana</strong>.</span></p>",Black Nine,Vestuário e acessórios > Roupas > Camisetas e tops,"","branca, camisetas",true,Tamanho,P,,,,,,,,VJ-CAM-P-B90619,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_1546c1a6-1133-4645-82b2-bf3d04c03d64.png?v=1718467079,1,"",false,,,,,,,,,,,,,,,Branco,,,,,,,,g,,,true,,,true,,,active
camiseta-premium-boston-basic-branco-b90619,,,,,,,,,M,,,,,,,,VJ-CAM-M-B90619,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_ZOOM_d669b7f5-b439-43a6-b6af-b5b8ed0e9fd9.png?v=1718467090,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-boston-basic-branco-b90619,,,,,,,,,G,,,,,,,,VJ-CAM-G-B90619,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/E.BARRA_ZOOM_efe863a9-929d-46d0-ab4d-69d316fac670.png?v=1718467090,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-boston-basic-branco-b90619,,,,,,,,,GG,,,,,,,,VJ-CAM-GG-B90619,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/COSTAS_b745cf1d-058f-47d9-9059-71bdae094a65.png?v=1718467090,4,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-boston-basic-branco-b90619,,,,,,,,,G2,,,,,,,,VJ-CAM-G2-B90619,330.0,shopify,200,deny,manual,99.90,139.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-boston-basic-branco-b90619,,,,,,,,,G3,,,,,,,,VJ-CAM-G3-B90619,330.0,shopify,200,deny,manual,129.90,159.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-boston-basic-branco-b90619,,,,,,,,,G4,,,,,,,,VJ-CAM-G4-B90619,330.0,shopify,200,deny,manual,149.90,189.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-california-urso-branco-b90628,CAMISETA PREMIUM CALIFORNIA URSO - BRANCO B90628,"<p data-mce-fragment=""1""><span><i class=""fas fa-check-circle"" style=""color: #00bd22;""></i>  Se você busca se destacar com atitude e conforto, a camiseta <strong>Black Nine Streetwear</strong> é o item que não pode faltar no seu guarda-roupa. Feita com uma malha encorpada, resistente e durável, essa camiseta mantém seu estilo impecável mesmo com o uso frequente e as lavagens.</span><br><br><span><i class=""fas fa-tshirt"" style=""color: #00bd22;""></i>  Com sua malha <strong>100% algodão exclusiva</strong>, <strong>macia e confortável</strong>, a camiseta B9 apresenta um corte largo que proporciona liberdade de movimento, perfeito para quem valoriza roupas descontraídas.</span><br><br><span><i class=""fas fa-star"" style=""color: #00bd22;""></i>  O tecido premium e o acabamento <strong>anti-pilling</strong> asseguram que a camiseta permaneça impecável, sem bolinhas ou manchas, mesmo após várias lavagens.</span><br><br><span><i class=""fa-solid fa-road fa-fw"" style=""color: #00bd22;""></i> Inspirada pelas tendências <strong>streetwear mais autênticas</strong>, essa camiseta combina elementos do <strong>hip-hop, skate ,rap, Anime, Basquete e muito mais!</strong> tendo no seu DNA a rua, trazendo originalidade e personalidade ao seu visual. Reconhecida pela qualidade e criatividade das estampas, a <strong>Black Nine</strong> oferece opções únicas para quem busca expressar sua individualidade através da moda urbana.</span><br><br><span><i class=""fas fa-people-arrows"" style=""color: #00bd22;""></i>  Nossas camisetas vão além do convencional; elas representam a fusão entre moda e cultura de rua, refletindo a estética urbana e o estilo autêntico das ruas. Com a <strong>Black Nine Streetwear</strong>, você pode criar looks cheios de atitude e personalidade, mostrando ao mundo o seu <strong>amor pela moda urbana</strong>.</span></p>",Black Nine,Vestuário e acessórios > Roupas > Camisetas e tops,"","branca, camisetas",true,Tamanho,P,,,,,,,,VJ-CAM-P-B90628,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_de8ab508-7dbd-4cca-9217-dac466fd5555.png?v=1718467179,1,"",false,,,,,,,,,,,,,,,Branco,,,,,,,,g,,,true,,,true,,,active
camiseta-premium-california-urso-branco-b90628,,,,,,,,,M,,,,,,,,VJ-CAM-M-B90628,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_ZOOM_dfde90a4-2336-4319-a074-8872ab51ada4.png?v=1718467208,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-california-urso-branco-b90628,,,,,,,,,G,,,,,,,,VJ-CAM-G-B90628,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/E.BARRA_ZOOM_ec343c05-9d34-4315-a456-2737cd41bfc2.png?v=1718467208,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-california-urso-branco-b90628,,,,,,,,,GG,,,,,,,,VJ-CAM-GG-B90628,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/COSTAS_b4b628dc-26b9-4dd2-822e-9134660f6b1b.png?v=1718467208,4,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-california-urso-branco-b90628,,,,,,,,,G2,,,,,,,,VJ-CAM-G2-B90628,330.0,shopify,200,deny,manual,99.90,139.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-california-urso-branco-b90628,,,,,,,,,G3,,,,,,,,VJ-CAM-G3-B90628,330.0,shopify,200,deny,manual,129.90,159.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-california-urso-branco-b90628,,,,,,,,,G4,,,,,,,,VJ-CAM-G4-B90628,330.0,shopify,200,deny,manual,149.90,189.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-kansas-city-branco-b90625,CAMISETA PREMIUM KANSAS CITY - BRANCO B90625,"<p data-mce-fragment=""1""><span><i class=""fas fa-check-circle"" style=""color: #00bd22;""></i>  Se você busca se destacar com atitude e conforto, a camiseta <strong>Black Nine Streetwear</strong> é o item que não pode faltar no seu guarda-roupa. Feita com uma malha encorpada, resistente e durável, essa camiseta mantém seu estilo impecável mesmo com o uso frequente e as lavagens.</span><br><br><span><i class=""fas fa-tshirt"" style=""color: #00bd22;""></i>  Com sua malha <strong>100% algodão exclusiva</strong>, <strong>macia e confortável</strong>, a camiseta B9 apresenta um corte largo que proporciona liberdade de movimento, perfeito para quem valoriza roupas descontraídas.</span><br><br><span><i class=""fas fa-star"" style=""color: #00bd22;""></i>  O tecido premium e o acabamento <strong>anti-pilling</strong> asseguram que a camiseta permaneça impecável, sem bolinhas ou manchas, mesmo após várias lavagens.</span><br><br><span><i class=""fa-solid fa-road fa-fw"" style=""color: #00bd22;""></i> Inspirada pelas tendências <strong>streetwear mais autênticas</strong>, essa camiseta combina elementos do <strong>hip-hop, skate ,rap, Anime, Basquete e muito mais!</strong> tendo no seu DNA a rua, trazendo originalidade e personalidade ao seu visual. Reconhecida pela qualidade e criatividade das estampas, a <strong>Black Nine</strong> oferece opções únicas para quem busca expressar sua individualidade através da moda urbana.</span><br><br><span><i class=""fas fa-people-arrows"" style=""color: #00bd22;""></i>  Nossas camisetas vão além do convencional; elas representam a fusão entre moda e cultura de rua, refletindo a estética urbana e o estilo autêntico das ruas. Com a <strong>Black Nine Streetwear</strong>, você pode criar looks cheios de atitude e personalidade, mostrando ao mundo o seu <strong>amor pela moda urbana</strong>.</span></p>",Black Nine,Vestuário e acessórios > Roupas > Camisetas e tops,"","branca, camisetas",true,Tamanho,P,,,,,,,,VJ-CAM-P-B90625,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_92269299-72ec-434d-9a08-70874888a934.png?v=1718467397,1,"",false,,,,,,,,,,,,,,,Branco,,,,,,,,g,,,true,,,true,,,active
camiseta-premium-kansas-city-branco-b90625,,,,,,,,,M,,,,,,,,VJ-CAM-M-B90625,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_ZOOM_bb748f84-4334-4604-a8de-8cde35e5d5a3.png?v=1718467435,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-kansas-city-branco-b90625,,,,,,,,,G,,,,,,,,VJ-CAM-G-B90625,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/E.BARRA_ZOOM_3df5cf2d-6e22-4ce0-9e20-d7a5664c8bf7.png?v=1718467435,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-kansas-city-branco-b90625,,,,,,,,,GG,,,,,,,,VJ-CAM-GG-B90625,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/COSTAS_61bc1b8e-87b8-402a-a898-657001f322a5.png?v=1718467435,4,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-kansas-city-branco-b90625,,,,,,,,,G2,,,,,,,,VJ-CAM-G2-B90625,330.0,shopify,200,deny,manual,99.90,139.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-kansas-city-branco-b90625,,,,,,,,,G3,,,,,,,,VJ-CAM-G3-B90625,330.0,shopify,200,deny,manual,129.90,159.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-kansas-city-branco-b90625,,,,,,,,,G4,,,,,,,,VJ-CAM-G4-B90625,330.0,shopify,200,deny,manual,149.90,189.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-tokyo-japan-basic-branco-b90620,CAMISETA PREMIUM TOKYO JAPAN BASIC - BRANCO B90620,"<p data-mce-fragment=""1""><span><i class=""fas fa-check-circle"" style=""color: #00bd22;""></i>  Se você busca se destacar com atitude e conforto, a camiseta <strong>Black Nine Streetwear</strong> é o item que não pode faltar no seu guarda-roupa. Feita com uma malha encorpada, resistente e durável, essa camiseta mantém seu estilo impecável mesmo com o uso frequente e as lavagens.</span><br><br><span><i class=""fas fa-tshirt"" style=""color: #00bd22;""></i>  Com sua malha <strong>100% algodão exclusiva</strong>, <strong>macia e confortável</strong>, a camiseta B9 apresenta um corte largo que proporciona liberdade de movimento, perfeito para quem valoriza roupas descontraídas.</span><br><br><span><i class=""fas fa-star"" style=""color: #00bd22;""></i>  O tecido premium e o acabamento <strong>anti-pilling</strong> asseguram que a camiseta permaneça impecável, sem bolinhas ou manchas, mesmo após várias lavagens.</span><br><br><span><i class=""fa-solid fa-road fa-fw"" style=""color: #00bd22;""></i> Inspirada pelas tendências <strong>streetwear mais autênticas</strong>, essa camiseta combina elementos do <strong>hip-hop, skate ,rap, Anime, Basquete e muito mais!</strong> tendo no seu DNA a rua, trazendo originalidade e personalidade ao seu visual. Reconhecida pela qualidade e criatividade das estampas, a <strong>Black Nine</strong> oferece opções únicas para quem busca expressar sua individualidade através da moda urbana.</span><br><br><span><i class=""fas fa-people-arrows"" style=""color: #00bd22;""></i>  Nossas camisetas vão além do convencional; elas representam a fusão entre moda e cultura de rua, refletindo a estética urbana e o estilo autêntico das ruas. Com a <strong>Black Nine Streetwear</strong>, você pode criar looks cheios de atitude e personalidade, mostrando ao mundo o seu <strong>amor pela moda urbana</strong>.</span></p>",Black Nine,Vestuário e acessórios > Roupas > Camisetas e tops,"","branca, camisetas",true,Tamanho,P,,,,,,,,VJ-CAM-P-B90620,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE_ca932395-b7c3-44dd-9c5d-029b1705c014.png?v=1718467773,1,"",false,,,,,,,,,,,,,,,Branco,,,,,,,,g,,,true,,,true,,,active
camiseta-premium-tokyo-japan-basic-branco-b90620,,,,,,,,,M,,,,,,,,VJ-CAM-M-B90620,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/FRENTE._ZOOM.png?v=1718467789,2,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-tokyo-japan-basic-branco-b90620,,,,,,,,,G,,,,,,,,VJ-CAM-G-B90620,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/E.BARRA_ZOOM_7688651e-46c6-4a3f-b2a8-2aaa8d876a75.png?v=1718467789,3,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-tokyo-japan-basic-branco-b90620,,,,,,,,,GG,,,,,,,,VJ-CAM-GG-B90620,330.0,shopify,200,deny,manual,89.90,129.90,true,true,,https://cdn.shopify.com/s/files/1/0615/7867/4221/files/COSTAS_fc6d63ca-584b-439c-9aab-8c74758df17c.png?v=1718467789,4,"",,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-tokyo-japan-basic-branco-b90620,,,,,,,,,G2,,,,,,,,VJ-CAM-G2-B90620,330.0,shopify,200,deny,manual,99.90,139.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-tokyo-japan-basic-branco-b90620,,,,,,,,,G3,,,,,,,,VJ-CAM-G3-B90620,330.0,shopify,200,deny,manual,129.90,159.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
camiseta-premium-tokyo-japan-basic-branco-b90620,,,,,,,,,G4,,,,,,,,VJ-CAM-G4-B90620,330.0,shopify,200,deny,manual,149.90,189.90,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,
